"audit_id","timestamp","user_id","employee_id","caller_employee_id","role","action","document_id","s3_key","result","ip_address","details"
"AUDIT-DDF30B9133B5","2026-09-08T14:37:45.499224+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","UPLOAD_REQUEST","DOC-D5079318","documents/EMP001/compliance/safety-training-2026.pdf","SUCCESS","223.185.24.221","Generated presigned upload URL for safety-training-2026.pdf"
"AUDIT-05E0D4EADEE7","2026-09-08T14:36:40.781736+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","UPLOAD_REQUEST","DOC-0DE5F73D","documents/EMP001/compliance/safety-training-2026.pdf","SUCCESS","223.185.24.221","Generated presigned upload URL for safety-training-2026.pdf"
"AUDIT-09C2509217EC","2026-09-08T14:35:46.553022+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","UPLOAD_REQUEST","DOC-236302E7","documents/EMP001/compliance/safety-training-2026.pdf","SUCCESS","223.185.24.221","Generated presigned upload URL for safety-training-2026.pdf"
"AUDIT-35CAB2194FBC","2026-09-08T14:35:28.586871+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","UPLOAD_REQUEST","DOC-749705EE","documents/EMP001/compliance/security-awareness-2026.pdf","SUCCESS","223.185.24.221","Generated presigned upload URL for security-awareness-2026.pdf"
"AUDIT-59A5980B0513","2026-09-08T14:34:42.300873+00:00","e17b1560-2071-70d7-fb16-218a7015668c","ALL","HR001","HR_Admin","LIST","N/A","N/A","SUCCESS","223.185.24.221","Listed 11 documents"
"AUDIT-5B21808572C9","2026-09-08T14:34:40.477076+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","UPLOAD_REQUEST","DOC-87AF2420","documents/EMP001/compliance/security-awareness-2026.pdf","SUCCESS","223.185.24.221","Generated presigned upload URL for security-awareness-2026.pdf"
"AUDIT-74DD93CAE3FB","2026-09-08T14:33:58.305166+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","VERSION_HISTORY","DOC-EMP001-102","documents/EMP001/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Retrieved 2 versions for employment-contract.pdf"
"AUDIT-4ED5D88B05EA","2026-09-08T14:33:55.501188+00:00","e17b1560-2071-70d7-fb16-218a7015668c","EMP003","HR001","HR_Admin","DELETE","DOC-EMP003-110","documents/EMP003/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Soft-deleted document DOC-EMP003-110 (employment-contract.pdf)"
"AUDIT-076789319429","2026-09-08T14:33:54.498886+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP002","EMP001","Employee","ACCESS_DENIED","DOC-EMP002-107","documents/EMP002/contract/employment-contract.pdf","DENIED","223.185.24.221","Unauthorized delete attempt: Employee EMP001 cannot access records belonging to employee EMP002"
"AUDIT-2DCC34F087B5","2026-09-08T14:33:52.810790+00:00","e17b1560-2071-70d7-fb16-218a7015668c","EMP999","HR001","HR_Admin","DOWNLOAD","DOC-EMP999-111","documents/EMP999/contract/legal-confidentiality-contract.pdf","SUCCESS","223.185.24.221","Generated presigned download URL for legal-confidentiality-contract.pdf (version: latest)"
"AUDIT-DFA54822912A","2026-09-08T14:33:51.831251+00:00","a1ab55f0-1051-7041-4c16-76dda81f3285","EMP999","MGR001","Manager","ACCESS_DENIED","DOC-EMP999-111","documents/EMP999/contract/legal-confidentiality-contract.pdf","DENIED","223.185.24.221","Unauthorized download attempt: Manager MGR001 is not authorized to access documents for employee EMP999"
"AUDIT-D6066A6724C7","2026-09-08T14:33:50.832481+00:00","a1ab55f0-1051-7041-4c16-76dda81f3285","EMP002","MGR001","Manager","DOWNLOAD","DOC-EMP002-107","documents/EMP002/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Generated presigned download URL for employment-contract.pdf (version: latest)"
"AUDIT-96A813BADCD4","2026-09-08T14:33:49.892158+00:00","a1ab55f0-1051-7041-4c16-76dda81f3285","EMP001","MGR001","Manager","DOWNLOAD","DOC-EMP001-102","documents/EMP001/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Generated presigned download URL for employment-contract.pdf (version: latest)"
"AUDIT-99288A11EDF4","2026-09-08T14:33:48.929700+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP002","EMP001","Employee","ACCESS_DENIED","DOC-EMP002-107","documents/EMP002/contract/employment-contract.pdf","DENIED","223.185.24.221","Unauthorized download attempt: Employee EMP001 cannot access records belonging to employee EMP002"
"AUDIT-5F441660678D","2026-09-08T14:33:47.873138+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","DOWNLOAD","DOC-EMP001-102","documents/EMP001/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Generated presigned download URL for employment-contract.pdf (version: latest)"
